,DC,DATE,FM.NO,PRODUCT,Customer,No of Articles,actual,RATE,AIR SUR,TAX RATE,Postage,Postage Franked,ST,Tax 18%,TAX ON SC18%,S.charge,SC Per article,Weight
80,129,19.12.2023,P850968,ORD,CAMS HSBC,2634,10,10,,2.0,26340,31608.0,5268.0,4741.2,331.88399999999996,1843.8,0.7,no
81,129,19.12.2023,P850968,ORD,CAMS HSBC,10,5,5,,1.0,50,60.0,10.0,9.0,1.26,7.0,0.7,no
82,129,19.12.2023,P850478,ORD,CAMS HSBC,3600,10,10,,2.0,36000,43200.0,7200.0,6480.0,453.59999999999997,2520.0,0.7,no
83,129,20.12.2023,P850642,ORD,CAMS HSBC,2236,10,10,,2.0,22360,26832.0,4472.0,4024.7999999999997,281.73599999999993,1565.1999999999998,0.7,no
84,129,20.12.2023,P850642,ORD,CAMS HSBC,351,5,5,,1.0,1755,2106.0,351.0,315.9,44.226,245.7,0.7,no
85,129,20.12.2023,P850642,ORD,CAMS HSBC,8,15,15,,3.0,120,144.0,24.0,21.599999999999998,1.008,5.6,0.7,no
86,129,20.12.2023,P850642,ORD,CAMS HSBC,18,20,20,,4.0,360,432.0,72.0,64.8,2.268,12.6,0.7,no
87,129,20.12.2023,P850642,ORD,CAMS HSBC,4,25,25,,5.0,100,120.0,20.0,18.0,0.504,2.8,0.7,no
88,129,20.12.2023,P850944,ORD,CAMS HSBC,1200,10,10,,2.0,12000,14400.0,2400.0,2160.0,151.2,840.0,0.7,no
89,129,20.12.2023,P850478,ORD,CAMS HSBC,557,5,5,,1.0,2785,3342.0,557.0,501.29999999999995,70.18199999999999,389.9,0.7,no
90,129,20.12.2023,P850855,ORD,CAMS HSBC,1,15,15,,3.0,15,18.0,3.0,2.6999999999999997,0.126,0.7,0.7,no
91,129,20.12.2023,P850855,ORD,CAMS HSBC,34,5,5,,1.0,170,204.0,34.0,30.599999999999998,4.283999999999999,23.799999999999997,0.7,no
92,129,21.12.2023,P850478,ORD,CAMS HSBC,435,5,5,,1.0,2175,2610.0,435.0,391.5,54.809999999999995,304.5,0.7,no
93,129,21.12.2023,P850983,SPEED,CAMS HSBC,3,35,41,,,105,123.0,18.0,18.9,0.7559999999999999,4.199999999999999,1.4,no
94,129,22.12.2023,P850864,ORD,CAMS HSBC,5014,10,10,,2.0,50140,60168.0,10028.0,9025.199999999999,631.7639999999999,3509.7999999999997,0.7,no
95,129,22.12.2023,P850864,ORD,CAMS HSBC,1801,10,10,,2.0,18010,21612.0,3602.0,3241.7999999999997,226.92599999999996,1260.6999999999998,0.7,no
96,129,22.12.2023,P850968,ORD,CAMS HSBC,21,5,5,,1.0,105,126.0,21.0,18.9,2.646,14.7,0.7,no
97,129,22.12.2023,P850968,ORD,CAMS HSBC,55,5,5,,1.0,275,330.0,55.0,49.5,6.93,38.5,0.7,no
98,129,22.12.2023,P850855,FREG,CAMS HSBC,1,183,175,8.0,33.0,183,216.0,33.0,32.94,0.252,1.4,1.4,no
99,129,22.12.2023,P850855,SPEED,CAMS HSBC,3,35,35,,6.0,105,123.0,18.0,18.9,0.7559999999999999,4.199999999999999,1.4,no
100,129,23.12.2023,P850983,ORD,CAMS HSBC,8,5,5,,1.0,40,48.0,8.0,7.199999999999999,1.008,5.6,0.7,no
101,129,23.12.2023,P850983,ORD,CAMS HSBC,1,10,10,,2.0,10,12.0,2.0,1.7999999999999998,0.126,0.7,0.7,no
102,129,23.12.2023,P850983,ORD,CAMS HSBC,1,15,15,,3.0,15,18.0,3.0,2.6999999999999997,0.126,0.7,0.7,no
103,129,23.12.2023,P850983,ORD,CAMS HSBC,1,20,20,,4.0,20,24.0,4.0,3.5999999999999996,0.126,0.7,0.7,no
104,129,23.12.2023,P850983,ORD,CAMS HSBC,1,45,45,,8.0,45,53.0,8.0,8.1,0.20879999999999999,1.16,1.16,no
105,129,23.12.2023,P850983,ORD,CAMS HSBC,1,65,65,,12.0,65,77.0,12.0,11.7,0.24480000000000002,1.36,1.36,yes
106,129,25.12.2023,P850864,ORD,CAMS HSBC,3953,10,10,,2.0,39530,47436.0,7906.0,7115.4,498.078,2767.1,0.7,yes
107,129,25.12.2023,P850478,ORD,CAMS HSBC,3018,5,5,,1.0,15090,18108.0,3018.0,2716.2,380.268,2112.6,0.7,yes
108,129,26.12.2023,P850983,ORD,CAMS HSBC,6000,5,5,,1.0,30000,36000.0,6000.0,5400.0,756.0,4200.0,0.7,yes
109,129,26.12.2023,P850968,ORD,CAMS HSBC,1000,5,5,,1.0,5000,6000.0,1000.0,900.0,126.0,700.0,0.7,yes
110,129,26.12.2023,P850855,ORD,CAMS HSBC,3,10,10,,2.0,30,36.0,6.0,5.3999999999999995,0.37799999999999995,2.0999999999999996,0.7,yes
111,129,26.12.2023,P850855,FREG,CAMS HSBC,1,180,175,5.0,32.5,180,212.5,32.5,32.4,0.252,1.4,1.4,yes
